date,ty_ra_deg,ty_dec_deg,jpl_ra_icrf_deg,jpl_dec_icrf_deg,dra_icrf_deg,dra_icrf_seconds_time,dra_icrf_cosdec_deg,ddec_icrf_deg,sep_icrf_deg,jpl_ra_app_deg,jpl_dec_app_deg,dra_app_deg,dra_app_seconds_time,dra_app_cosdec_deg,ddec_app_deg,sep_app_deg
2000-06-21 00:00:00,322.6791666666667,-15.328055555555554,323.17376445,-15.326577852777778,-0.49459778333334725,-118.70346800000334,-0.47700568357350925,-0.0014777027777768126,0.47700786893444164,323.17916244583336,-15.323915372222222,-0.4999957791666816,-119.99898700000358,-0.482214751476981,-0.004140183333332104,0.4822324174563704
2000-06-21 06:00:00,322.675,-15.329722222222221,323.16874048333335,-15.328350547222222,-0.4937404833333403,-118.49771600000167,-0.4761749590374107,-0.0013716749999996836,0.4761768316811767,323.1741693833334,-15.325680283333334,-0.499169383333367,-119.80065200000809,-0.48141379304200743,-0.004041938888887486,0.48143065425123127
2000-06-21 12:00:00,322.67083333333335,-15.331388888888888,323.16367435,-15.330136363888888,-0.49284101666665947,-118.28184399999827,-0.47530356656306727,-0.0012525249999999488,0.4753051144528736,323.16913353333337,-15.327458561111111,-0.49830020000001696,-119.59204800000407,-0.4805715666940371,-0.00393032777777691,0.48058753244338137
2000-06-21 18:00:00,322.6625,-15.333333333333334,323.1585661583334,-15.331935269444445,-0.496066158333349,-119.05587800000376,-0.47840965881661246,-0.0013980638888888564,0.4784115971120431,323.16405498333336,-15.32925016111111,-0.5015549833333353,-120.37319600000046,-0.48370622735646013,-0.004083172222223652,0.4837233528673899
2000-06-22 00:00:00,322.6583333333333,-15.335,323.1534160166667,-15.33374721388889,-0.49508268333340766,-118.81984400001784,-0.47745721444308814,-0.001252786111111348,0.47745875412475125,323.1589338333334,-15.331055019444443,-0.5006005000000755,-120.14412000001812,-0.48278170106989915,-0.003944980555557365,0.48279771123198206
2000-06-22 06:00:00,322.65416666666664,-15.336666666666668,323.14822402916667,-15.33557215,-0.49405736250002974,-118.57376700000714,-0.4764644148641557,-0.0010945166666669337,0.4764655687387456,323.1537701958333,-15.332873069444444,-0.49960352916667716,-119.90484700000252,-0.481816199598986,-0.0037935972222236103,0.48183102701933833
2000-06-22 12:00:00,322.65000000000003,-15.338611111111112,323.14299030833337,-15.337410019444444,-0.4929903083333329,-118.3176739999999,-0.475431053638359,-0.0012010916666671534,0.475432468183645,323.14856417500005,-15.33470423888889,-0.4985641750000127,-119.65540200000305,-0.48080950494880403,-0.003906872222222191,0.48082527132699804
2000-06-22 18:00:00,322.64166666666665,-15.340277777777779,323.1377149791667,-15.339260772222223,-0.49604831250002235,-119.05159500000536,-0.47837611048392303,-0.0010170055555551727,0.4783770869716222,323.1433159041667,-15.336548447222222,-0.5016492375000325,-120.39581700000781,-0.4837806380867869,-0.003729330555556132,0.4837949038369809
2000-06-23 00:00:00,322.6375,-15.341944444444445,323.13239815000003,-15.341124358333333,-0.49489815000004,-118.7755560000096,-0.4772628900751437,-0.0008200861111120616,0.47726349079728725,323.1380255166667,-15.338405627777778,-0.5005255166666984,-120.12612400000762,-0.4826928721877825,-0.0035388166666674437,0.48270573675120637
2000-06-23 06:00:00,322.6333333333333,-15.34388888888889,323.12703995833334,-15.343000744444446,-0.4937066250000157,-118.48959000000377,-0.4761094684525654,-0.0008881444444437392,0.4761101936980432,323.1326931625,-15.340275719444445,-0.49935982916667854,-119.84635900000285,-0.48156431781657566,-0.0036131694444438978,0.4815777656123586
2000-06-23 12:00:00,322.62916666666666,-15.345555555555556,323.1216405166667,-15.344889897222222,-0.4924738500000103,-118.19372400000248,-0.4749165893604859,-0.000665658333334207,0.4749169534788834,323.1273189916667,-15.34215866388889,-0.49815232500003503,-119.55655800000841,-0.4803957621020103,-0.003396891666666235,0.480407665679307
