date,ty_ra_deg,ty_dec_deg,jpl_ra_icrf_deg,jpl_dec_icrf_deg,dra_icrf_deg,dra_icrf_seconds_time,dra_icrf_cosdec_deg,ddec_icrf_deg,sep_icrf_deg,jpl_ra_app_deg,jpl_dec_app_deg,dra_app_deg,dra_app_seconds_time,dra_app_cosdec_deg,ddec_app_deg,sep_app_deg
2000-06-21 00:00:00,92.3375,23.91,92.7891235375,23.88701981111111,-0.45162353749998374,-108.3896489999961,-0.41290336384572707,0.02298018888889075,0.4135421725184519,92.7854723375,23.885821091666667,-0.44797233750000487,-107.51336100000117,-0.4095670997546336,0.024178908333333027,0.4102800075724904
2000-06-21 06:00:00,92.67500000000001,23.911944444444444,93.125157275,23.890102397222222,-0.4501572749999809,-108.03774599999542,-0.4115548114433319,0.02184204722222205,0.41213382725181585,93.121515875,23.88891443611111,-0.4465158749999887,-107.16380999999728,-0.40822754889399177,0.023030008333332574,0.4088764739467923
2000-06-21 12:00:00,93.0125,23.913055555555555,93.46120780833334,23.892447722222222,-0.44870780833332446,-107.68987399999787,-0.4102241575373157,0.020607833333333048,0.41074127882703826,93.45757564583333,23.891270580555556,-0.44507564583332737,-106.81815499999857,-0.4069053617828615,0.021784974999999207,0.4074879369128207
2000-06-21 18:00:00,93.35000000000001,23.91361111111111,93.79727139583333,23.894055530555555,-0.44727139583332587,-107.34513499999821,-0.4089075182196386,0.019555580555554286,0.4093746904638286,93.79364789166667,23.892889252777778,-0.4436478916666715,-106.47549400000116,-0.40559664302418497,0.02072185833333151,0.4061254663865006
2000-06-22 00:00:00,93.6875,23.91333333333333,94.13334429583333,23.8949256,-0.4458442958333251,-107.00263099999802,-0.4076018913128693,0.0184077333333299,0.4080171645031323,94.12972886666667,23.893770205555555,-0.4422288666666532,-106.13492799999676,-0.40429838322194994,0.01956312777777569,0.40477124760672883
2000-06-22 06:00:00,94.025,23.91222222222222,94.46942275,23.895057744444443,-0.4444227500000011,-106.66146000000026,-0.40630381737937,0.017164477777775744,0.40666604659741323,94.465814825,23.893913225,-0.4408148249999897,-105.79555799999753,-0.40300713453111486,0.01830899722222057,0.40342265198253735
2000-06-22 12:00:00,94.3625,23.910277777777775,94.80550300833333,23.894451808333333,-0.44300300833333495,-106.32072200000039,-0.4050098444938267,0.015825969444442478,0.4053187629895721,94.8019020125,23.893318133333334,-0.4394020125000111,-105.45648300000266,-0.4017194413562602,0.01695964444444087,0.40207711621844633
2000-06-22 18:00:00,94.7,23.907777777777778,95.14158130416665,23.893107666666666,-0.44158130416664676,-105.97951299999522,-0.40371607150378813,0.01467011111111205,0.40398235692647766,95.1379866875,23.89198478333333,-0.43798668750000047,-105.11680500000011,-0.4004314290633883,0.01579299444444615,0.4007425835599969
2000-06-23 00:00:00,95.0375,23.904444444444444,95.47765387499999,23.891025230555556,-0.4401538749999929,-105.6369299999983,-0.40241947079919826,0.013419213888887782,0.4026429856615006,95.47406510416667,23.889913058333335,-0.43656510416667516,-104.77562500000204,-0.399140081843678,0.014531386111109157,0.39940435434979615
2000-06-23 06:00:00,95.375,23.900555555555552,95.81371694583333,23.888204444444444,-0.43871694583333465,-105.29206700000032,-0.4011161353430477,0.012351111111108537,0.4013060851929785,95.81013352083333,23.887102880555556,-0.43513352083334667,-104.4320450000032,-0.39784152675790496,0.013452674999996361,0.39806874898088285
