date,ty_ra_deg,ty_dec_deg,jpl_ra_icrf_deg,jpl_dec_icrf_deg,dra_icrf_deg,dra_icrf_seconds_time,dra_icrf_cosdec_deg,ddec_icrf_deg,sep_icrf_deg,jpl_ra_app_deg,jpl_dec_app_deg,dra_app_deg,dra_app_seconds_time,dra_app_cosdec_deg,ddec_app_deg,sep_app_deg
2000-06-21 00:00:00,110.9625,20.94611111111111,111.19791068333333,20.853148369444447,-0.2354106833333276,-56.49856399999862,-0.21992225636782042,0.09296274166666407,0.23876315937126769,111.19455194583334,20.852356172222223,-0.23205194583334787,-55.69246700000349,-0.21678507329830568,0.09375493888888897,0.2361900364591039
2000-06-21 06:00:00,110.95000000000002,20.915,111.23275574166667,20.781867738888888,-0.28275574166664796,-67.86137799999551,-0.26424235463237333,0.1331322611111112,0.2958853796584338,111.22940469166667,20.781076688888888,-0.27940469166665594,-67.05712599999742,-0.26111140054060406,0.13392331111111133,0.2934528157850689
2000-06-21 12:00:00,110.92500000000001,20.884999999999998,111.2624872375,20.710972813888887,-0.33748723749999954,-80.99693699999989,-0.3154959466555063,0.17402718611111112,0.36030960011366325,111.25914315833333,20.710182969444443,-0.334143158333319,-80.19435799999656,-0.3123705916351979,0.17481703055555542,0.3579612232710303
2000-06-21 18:00:00,110.89583333333334,20.85611111111111,111.28711019583334,20.640488022222222,-0.3912768624999785,-93.90644699999484,-0.36590088485933187,0.21562308888888992,0.42470752602080447,111.2837723625,20.639699416666666,-0.38793902916665957,-93.1053669999983,-0.36278047007631525,0.21641169444444586,0.4224256195243568
2000-06-22 00:00:00,110.85416666666667,20.828333333333333,111.30663152083334,20.570437716666667,-0.4524648541666636,-108.59156499999926,-0.4232572622063742,0.2578956166666657,0.49563727742509617,111.30329919583335,20.569650361111112,-0.44913252916666124,-107.7918069999987,-0.42014113681866716,0.25868297222222125,0.4933912380302592
2000-06-22 06:00:00,110.80416666666667,20.801944444444445,111.32106006250001,20.500846169444443,-0.5168933958333355,-124.05441500000052,-0.4836796617732963,0.3010982750000011,0.5697413634392418,111.31773252916668,20.500060055555554,-0.5135658625000019,-123.25580700000046,-0.4805671864466695,0.30188438888889024,0.5675192073158304
2000-06-22 12:00:00,110.74583333333332,20.776666666666667,111.330406725,20.431737561111113,-0.5845733916666802,-140.29761400000325,-0.5471804116178844,0.3449291055555541,0.6468236864591403,111.32708327083334,20.430952658333336,-0.5812499375000186,-139.49998500000447,-0.5440709474731863,0.34571400833333144,0.6446159927906849
2000-06-22 18:00:00,110.675,20.752777777777776,111.3346845375,20.363135986111114,-0.6596845374999987,-158.32428899999968,-0.6176741517958815,0.38964179166666213,0.730300946932713,111.33136447083334,20.362352236111114,-0.6563644708333527,-157.52747300000465,-0.614567091794267,0.3904255416666622,0.7280949295622852
2000-06-23 00:00:00,110.6,20.729999999999997,111.33390875416667,20.295065436111113,-0.7339087541666913,-176.13810100000592,-0.687375683137728,0.4349345638888842,0.81341833623985,111.33059140833335,20.29428275277778,-0.7305914083333391,-175.3419380000014,-0.6842704203190381,0.43571724722221816,0.8112160899524686
2000-06-23 06:00:00,110.51249999999999,20.70861111111111,111.3280969375,20.22754979722222,-0.8155969375000041,-195.74326500000097,-0.7641059741650661,0.4810613138888904,0.9029240601794499,111.32478167916668,20.22676807222222,-0.8122816791666878,-194.94760300000507,-0.7610019552343495,0.4818430388888899,0.9007167503129548
2000-06-23 12:00:00,110.41666666666666,20.688333333333333,111.31726903333333,20.160612844444444,-0.9006023666666749,-216.14456800000198,-0.8439842123904175,0.5277204888888889,0.9953840206658144,111.313955275,20.159831941666667,-0.8972886083333265,-215.34926599999835,-0.8408809138964495,0.5285013916666657,0.9931694585768427
2000-06-23 18:00:00,110.31249999999999,20.669444444444444,111.30144749166668,20.094278230555556,-0.9889474916666927,-237.34739800000625,-0.927031757112513,0.5751662138888882,1.0909588712082674,111.29813468750001,20.09349798611111,-0.9856346875000099,-236.55232500000238,-0.9239286973083757,0.575946458333334,1.088735891915224
2000-06-24 00:00:00,110.19583333333333,20.651666666666664,111.28065731666668,20.02856948333333,-1.084823983333365,-260.3577560000076,-1.0171806332502025,0.6230971833333321,1.1928488607347472,111.27734497916667,20.027789705555556,-1.0815116458333591,-259.5627950000062,-1.0140773920499155,0.6238769611111081,1.190612187606107
2000-06-24 06:00:00,110.07499999999999,20.635277777777777,111.25492618333334,19.963509991666665,-1.1799261833333503,-283.1822840000041,-1.106644041428575,0.6717677861111113,1.2945686523275945,111.25161388333333,19.96273046388889,-1.1766138833333457,-282.38733200000297,-1.103540236559506,0.672547313888888,1.292321968254344
2000-06-24 12:00:00,109.94166666666666,20.62,111.22428450833334,19.899123,-1.2826178416666778,-307.8282820000027,-1.2032668457232147,0.7208770000000015,1.4026690966586515,111.22097188333333,19.898343475,-1.2793052166666712,-307.0332520000011,-1.2001621745000306,0.7216565250000002,1.400408292130002
2000-06-24 18:00:00,109.80416666666666,20.60611111111111,111.18876553333334,19.835431602777778,-1.3845988666666926,-332.30372800000623,-1.2992629655751302,0.770679508333334,1.510624219256639,111.18545230416667,19.834651813888886,-1.3812856375000138,-331.5085530000033,-1.2961571868971014,0.7714592972222256,1.508352567253859
2000-06-25 00:00:00,109.65416666666667,20.59361111111111,111.148405425,19.772458727777778,-1.4942387583333243,-358.61730199999784,-1.4024853609078065,0.821152383333331,1.6251756321792092,111.14509139166667,19.771678380555553,-1.4909247250000135,-357.82193400000324,-1.39937832798276,0.8219327305555559,1.6228902513078975
2000-06-25 06:00:00,109.49583333333334,20.58222222222222,111.10324334166667,19.71022713611111,-1.6074100083333178,-385.7784019999963,-1.509063345416542,0.8719950861111094,1.742862067516088,111.09992839583335,19.70944591111111,-1.6040950624999937,-384.9828149999985,-1.5059549854070629,0.8727763111111102,1.7405630622960124
2000-06-25 12:00:00,109.32916666666667,20.572222222222223,111.05332151666667,19.6487594,-1.7241548499999908,-413.7971639999978,-1.6190353918174922,0.9234628222222234,1.8638552055743605,111.05000564166667,19.647976966666665,-1.7208389749999924,-413.0013539999982,-1.6159257213209486,0.924245255555558,1.8615430762430947
2000-06-25 18:00:00,109.15416666666667,20.563333333333333,110.99868534583334,19.588077905555554,-1.8445186791666686,-442.68448300000045,-1.7324455124681122,0.9752554277777783,1.9880539611281205,110.99536862916668,19.587293908333333,-1.8412019625000084,-441.888471000002,-1.7293346438732895,0.9760394249999997,1.9857289950547288
2000-06-26 00:00:00,108.97083333333333,20.555833333333332,110.93938344583334,19.52820483888889,-1.9685501124999973,-472.45202699999936,-1.8493377498791375,1.0276284944444427,2.1156329146976303,110.936066075,19.52741890833333,-1.9652327416666822,-471.6558580000037,-1.8462258931184103,1.0284144250000011,2.1132957616702215
2000-06-26 06:00:00,108.78333333333333,20.549444444444447,110.87546774166668,19.46916216388889,-2.092134408333351,-502.1122580000042,-1.965847052737659,1.0802822805555579,2.24306801605535,110.8721500125,19.468373927777776,-2.088816679166655,-501.3160029999972,-1.9627345077913652,1.0810705166666708,2.240720975392535
2000-06-26 12:00:00,108.58333333333333,20.54416666666667,110.80699352083333,19.410971633333332,-2.223660187500002,-533.6784450000005,-2.0898546533194744,1.1331950333333367,2.3772590596222622,110.80367584583334,19.410180702777776,-2.2203425124999967,-532.8822029999992,-2.0867418504456556,1.1339859638888932,2.3749007554743238
2000-06-26 18:00:00,108.37916666666666,20.540277777777778,110.73401950833333,19.35365475277778,-2.354852841666684,-565.1646820000042,-2.2135823858270656,1.1866230249999994,2.511512798142252,110.73070240416666,19.352860741666667,-2.3515357375000008,-564.3685770000002,-2.2104698373517113,1.1874170361111105,2.5091457291331754
2000-06-27 00:00:00,108.1625,20.5375,110.65660791666666,19.297232786111113,-2.494107916666678,-598.5859000000028,-2.3449226384522803,1.2402672138888882,2.652644880022626,110.65329202499998,19.296435316666667,-2.4907920249999904,-597.7900859999977,-2.341810992152757,1.2410646833333345,2.650268126115162
2000-06-27 06:00:00,107.94166666666668,20.535833333333336,110.57482451666667,19.24172673888889,-2.633157849999975,-631.957883999994,-2.476102528381533,1.2941065944444468,2.793798075956301,110.57151057499999,19.24092543888889,-2.629843908333328,-631.1625379999987,-2.472992503547989,1.2949078944444459,2.791413899300175
2000-06-27 12:00:00,107.71666666666667,20.53527777777778,110.48873866666665,19.187157341666666,-2.77207199999998,-665.2972799999952,-2.6071844674589952,1.3481204361111132,2.935004274011199,110.48542752499999,19.186351855555557,-2.768760858333337,-664.5026060000009,-2.6040768901666738,1.3489259222222216,2.9326147691798283
