date_utc,body,stellarium_frame,ty_ra_deg,ty_dec_deg,stellarium_ra_deg,stellarium_dec_deg,dra_deg,ddec_deg,separation_deg
2025-06-21T00:00:00,moon,j2000,27.612500000000004,14.540833333333333,25.389374791812713,13.752927471367174,2.223125208187298,0.7879058619661592,2.295153446563018
2025-06-21T00:00:00,moon,of_date,27.612500000000004,14.540833333333333,25.73073358791646,13.882044851015351,1.8817664120835502,0.6587884823179824,1.9394752057483358
2025-06-21T06:00:00,moon,j2000,30.974999999999998,15.995555555555555,28.790739534536783,15.267681497547306,2.184260465463211,0.7278740580082488,2.2258231706181406
2025-06-21T06:00:00,moon,of_date,30.974999999999998,15.995555555555555,29.135839371412715,15.393059305712601,1.8391606285872797,0.6024962498429538,1.8702807555460268
2025-06-21T12:00:00,moon,j2000,34.3875,17.39638888888889,32.25314327967834,16.73540818088923,2.134356720321648,0.6609807079996592,2.1447449041618545
2025-06-21T12:00:00,moon,of_date,34.3875,17.39638888888889,32.602352906771614,16.85652809587804,1.7851470932283746,0.539860793010849,1.789357009485095
2025-06-21T18:00:00,moon,j2000,37.85416666666667,18.73611111111111,35.77979014710411,18.148910766572378,2.074376519562577,0.5872003445387328,2.053560331585252
2025-06-21T18:00:00,moon,of_date,37.85416666666667,18.73611111111111,36.13342727662712,18.265238162379465,1.7207393900395687,0.4708729487316461,1.6983785592561302
2025-06-22T00:00:00,moon,j2000,41.375,20.009444444444444,39.37314591667166,19.500813283216246,2.0018540833283396,0.5086311612281982,1.9514675394953984
2025-06-22T00:00:00,moon,of_date,41.375,20.009444444444444,39.73147594405816,19.611803259234154,1.643524055941839,0.3976411852102899,1.5965578028798424
2025-06-22T06:00:00,moon,j2000,44.94583333333333,21.209444444444443,43.034789063400126,20.783622659381592,1.9110442699331998,0.4258217850628512,1.8342502774680007
2025-06-22T06:00:00,moon,of_date,44.94583333333333,21.209444444444443,43.39801384377631,20.888723770536437,1.547819489557014,0.3207206739080064,1.4797054739617368
2025-06-22T12:00:00,moon,j2000,48.57083333333333,22.330555555555556,46.765257254414394,21.989809070420634,1.8055760789189321,0.3407464851349218,1.7065542454039562
2025-06-22T12:00:00,moon,of_date,48.57083333333333,22.330555555555556,47.13350354231909,22.088468299307554,1.4373297910142355,0.2420872562480021,1.3525265539493934
2025-06-22T18:00:00,moon,j2000,52.25,23.366944444444446,50.56389818456853,23.111904888641057,1.6861018154314706,0.2550395558033891,1.5701393010140536
2025-06-22T18:00:00,moon,of_date,52.25,23.366944444444446,50.93720634483219,23.203573915834912,1.312793655167809,0.1633705286095335,1.2168758251933365
2025-06-23T00:00:00,moon,j2000,55.97916666666667,24.31277777777778,54.42873498129143,24.142621609702566,1.5504316853752584,0.17015616807521283,1.4240665964260228
2025-06-23T00:00:00,moon,of_date,55.97916666666667,24.31277777777778,54.80704875437152,24.226764362918615,1.172117912295164,0.08601341485916336,1.0719794705288894
2025-06-23T06:00:00,moon,j2000,59.75,25.16333333333333,58.35635856304202,25.074982796934574,1.393641436957978,0.08835053639875667,1.2649239055891328
2025-06-23T06:00:00,moon,of_date,59.75,25.16333333333333,58.73951681139283,25.1510841606147,1.010483188607168,0.012249172718629353,0.9147134707998733
2025-06-23T12:00:00,moon,j2000,63.56666666666666,25.913888888888888,62.341860269218955,25.902469383383423,1.2248063974477077,0.01141950550546511,1.1017629127179631
2025-06-23T12:00:00,moon,of_date,63.56666666666666,25.913888888888888,62.72959170665098,25.970044833186194,0.8370749600156842,-0.05615594429730564,0.7548197448456676
2025-06-23T18:00:00,moon,j2000,67.42083333333333,26.560000000000002,66.37881815053515,26.61917198475927,1.0420151827981954,-0.059171984759267104,0.9336813298788559
2025-06-23T18:00:00,moon,of_date,67.42083333333333,26.560000000000002,66.77074002789237,26.67777778568094,0.6500933054409757,-0.11777778568093922,0.5930006748223471
2025-06-24T00:00:00,moon,j2000,71.30416666666666,27.09861111111111,70.4593481104331,27.219943145407996,0.8448185562335766,-0.12133203429688422,0.7613976218173344
2025-06-24T00:00:00,moon,of_date,71.30416666666666,27.09861111111111,70.85496966822268,27.269186634357045,0.44919699844399474,-0.17057552324593317,0.4344657442024878
2025-06-24T06:00:00,moon,j2000,75.2125,27.526944444444442,74.57422739186057,27.70054118271801,0.638272608139431,-0.1735967382735666,0.5916100306876995
2025-06-24T06:00:00,moon,of_date,75.2125,27.526944444444442,74.97295858266767,27.740090564605445,0.23954141733233314,-0.21314612016100298,0.30077803881526116
2025-06-24T12:00:00,moon,j2000,79.13333333333333,27.842777777777776,78.71309194342143,28.057756587526153,0.42024138991189375,-0.21497880974837713,0.42897715674091136
2025-06-24T12:00:00,moon,of_date,79.13333333333333,27.842777777777776,79.11425748916486,28.087349629011996,0.019075844168469303,-0.24457185123421965,0.24515150245230294
2025-06-24T18:00:00,moon,j2000,83.05833333333332,28.04527777777778,82.86470242564201,28.2895121787209,0.19363090769132896,-0.244234400943121,0.29797435768829933
