rank,period_days,amplitude_deg,frequency_cycles_per_day
1,365.2403846153846,0.7872596485482336,0.002737922864288535
2,379.85,0.39778221322671775,0.002632618138738976
3,351.712962962963,0.3921300076056084,0.002843227589838094
4,226.10119047619045,0.33064227199611007,0.00442279847308148
5,220.84302325581393,0.23937668481450775,0.004528103198631039
6,160.95338983050846,0.12308257235066018,0.006212978807423984
7,163.72844827586206,0.12045242049299208,0.006107674081874424
8,412.88043478260863,0.11908006945643582,0.002422008687639858
9,231.6158536585366,0.10690372461557218,0.00431749374753192
10,126.61666666666666,0.10021726174472176,0.007897854416216928
11,243.49358974358972,0.08528548154131514,0.004106884296432803
12,287.7651515151515,0.08247050237405017,0.003475055943135448
13,296.7578125,0.079514099634923,0.0033697512175858892
14,431.6477272727273,0.07891657484199012,0.0023167039620902987
15,104.3543956043956,0.07459092266766292,0.009582730025009872
16,128.3277027027027,0.06921357272783028,0.007792549690667369
17,193.80102040816325,0.06745755209180535,0.005159931551928393
18,172.6590909090909,0.05810888336606756,0.005791759905225747
19,237.40624999999997,0.05624727496551821,0.004212189021982362
20,88.75,0.05083600756320213,0.011267605633802818
