rank,period_days,amplitude_deg,frequency_cycles_per_day
1,365.2403846153846,0.29751605611712867,0.002737922864288535
2,351.712962962963,0.27085898850236284,0.002843227589838094
3,249.9013157894737,0.22297243259257263,0.004001579570883243
4,379.85,0.18541840680773203,0.002632618138738976
5,395.6770833333333,0.18290011716335228,0.002527313413189417
6,339.1517857142857,0.16164318079236561,0.002948532315387653
7,256.6554054054054,0.16071973724130392,0.0038962748453336845
8,189.925,0.15378864337077094,0.005265236277477952
9,237.40624999999997,0.12261946545801534,0.004212189021982362
10,412.88043478260863,0.11616367309243365,0.002422008687639858
11,153.16532258064515,0.09797237526063558,0.006528892984072661
12,263.78472222222223,0.0913447551125716,0.0037909701197841256
13,193.80102040816325,0.08674645073361163,0.005159931551928393
14,186.20098039215685,0.08410152573739912,0.005370541003027511
15,243.49358974358972,0.08157563307501514,0.004106884296432803
16,150.734126984127,0.07567149604042049,0.006634197709622219
17,182.6201923076923,0.06273005078800008,0.00547584572857707
18,126.61666666666666,0.06106328907493806,0.007897854416216928
19,327.4568965517241,0.05974963243878828,0.003053837040937212
20,271.32142857142856,0.058106832910946454,0.0036856653942345663
