date,ty_ecl_lon_deg,ty_ecl_lat_deg,jpl_ecl_lon_deg,jpl_ecl_lat_deg,dlon_deg,dlat_deg,ddec_deg,sep_deg
2000-06-21 00:00:00,58.042839839470446,-0.9910261341700245,58.01170051172002,-0.8395067348096594,0.031139327750423718,-0.15151939936036507,-0.14079113888888983,0.15468528738074788
2000-06-21 06:00:00,58.099416280639254,-0.9913810288970758,58.066179336412176,-0.8395096805898073,0.03323694422707035,-0.15187134830726845,-0.14068988888888612,0.1554648457616713
2000-06-21 12:00:00,58.15214173904791,-0.9908410290714902,58.1206026721113,-0.8395139719088457,0.03153906693660247,-0.1513270571626445,-0.14055740000000227,0.15457793061160813
2000-06-21 18:00:00,58.20877208645065,-0.9908856450374056,58.17497097700574,-0.8395195965592218,0.03380110944490866,-0.1513660484781838,-0.1401160472222216,0.15509320901448875
2000-06-22 00:00:00,58.26533704186111,-0.9911807210600998,58.22928436810892,-0.8395265839510808,0.03605267375218091,-0.15165413710901898,-0.1399214222222227,0.15587956924595975
2000-06-22 06:00:00,58.32183687575261,-0.9917263110279498,58.28354228553092,-0.8395349722755032,0.0382945902216818,-0.15219133875244661,-0.1399734027777768,0.1569340749668375
2000-06-22 12:00:00,58.37839429523246,-0.9919805685386817,58.337743662411874,-0.8395447740360029,0.04065063282058645,-0.15243579450267875,-0.13971622499999725,0.1577615996253931
2000-06-22 18:00:00,58.434947884821135,-0.9922143916483018,58.391887480402275,-0.8395559685882054,0.04306040441886694,-0.15265842306009647,-0.13942750277777805,0.15861373744218227
2000-06-23 00:00:00,58.491436603744255,-0.9926987630842821,58.44597330847749,-0.8395685126005363,0.04546329526675663,-0.15313025048374573,-0.1393850027777752,0.15973495298670495
2000-06-23 06:00:00,58.54413526209489,-0.9920268542270546,58.50000134961263,-0.8395823638442866,0.04413391248226617,-0.15244449038276797,-0.13903329722222324,0.15870294938262544
2000-06-23 12:00:00,58.60061652646962,-0.9924717661792891,58.553972027551815,-0.8395975210024742,0.04664449891780009,-0.15287424517681492,-0.1389280777777735,0.1598301809399675
2000-06-23 18:00:00,58.65709410888431,-0.9928962481515616,58.607885399453615,-0.8396140137816567,0.04920870943070099,-0.15328223436990496,-0.1387915916666671,0.1609854645834349
2000-06-24 00:00:00,58.713567999356265,-0.9933002905410409,58.66174083116242,-0.8396318762276669,0.05182716819385291,-0.15366841431337397,-0.13862370833333415,0.1621707376133535
2000-06-24 06:00:00,58.77003818789047,-0.993683883773227,58.71553714350927,-0.8396511265395987,0.054501044381197516,-0.1540327572336283,-0.13842419444444687,0.16338816392102729
2000-06-24 12:00:00,58.82265722834528,-0.9931890461336403,58.769273196052964,-0.8396717390876204,0.05338403229231403,-0.15351730704601996,-0.13819286944444187,0.1625321129498965
2000-06-24 18:00:00,58.879119959811625,-0.9935331102930762,58.822948451342945,-0.8396936650161131,0.056171508468679576,-0.15383944527696314,-0.13792970833333484,0.1637711938290633
2000-06-25 00:00:00,58.93551866818753,-0.9941278552005045,58.876563115466425,-0.8397168511986534,0.05895555272110187,-0.15441100400185115,-0.13791263055555447,0.16528043793002736
2000-06-25 06:00:00,58.99197402099416,-0.9944309769065214,58.9301177264902,-0.8397412925590494,0.061856294503968456,-0.154689684347472,-0.1375862472222238,0.16659566953522822
