date,ty_ecl_lon_deg,ty_ecl_lat_deg,jpl_ecl_lon_deg,jpl_ecl_lat_deg,dlon_deg,dlat_deg,ddec_deg,sep_deg
2000-06-21 00:00:00,109.52237797242289,-1.0837147430574414,109.75338326600688,-1.1442504793094896,-0.23100529358399058,0.06053573625204822,0.09296274166666407,0.23876315937126769
2000-06-21 06:00:00,109.51524718207932,-1.1161705828526476,109.79588584060969,-1.2100991280645736,-0.2806386585303642,0.09392854521192606,0.1331322611111112,0.2958853796584338
2000-06-21 12:00:00,109.49639082745068,-1.1491863074506203,109.83363001859445,-1.2762442689777487,-0.337239191143766,0.12705796152712834,0.17402718611111112,0.36030960011366325
2000-06-21 18:00:00,109.4735114789896,-1.181652358024819,109.8666101108752,-1.3426648580726903,-0.3930986318856071,0.16101250004787127,0.21562308888888992,0.42470752602080447
2000-06-22 00:00:00,109.43889515581189,-1.2146701526764585,109.89482218594453,-1.40933918739893,-0.45592703013264213,0.19466903472247155,0.2578956166666657,0.49563727742509617
2000-06-22 06:00:00,109.39635221041638,-1.247405691991144,109.91826414303881,-1.4762448797826326,-0.5219119326224302,0.2288391877914886,0.3010982750000011,0.5697413634392418
2000-06-22 12:00:00,109.34591772371414,-1.2801268122496254,109.93693582499724,-1.5433588841970365,-0.5910181012831117,0.26323207194741105,0.3449291055555541,0.6468236864591403
2000-06-22 18:00:00,109.2836897866181,-1.3130974396257882,109.95083909425612,-1.6106574605284067,-0.6671493076380273,0.29756002090261857,0.38964179166666213,0.730300946932713
2000-06-23 00:00:00,109.21742018972715,-1.3454861586158764,109.95997793938197,-1.6781161832528706,-0.7425577496548215,0.3326300246369942,0.4349345638888842,0.81341833623985
2000-06-23 06:00:00,109.1393481010959,-1.378099243570486,109.96435856442857,-1.7457099345592892,-0.82501046333266,0.3676106909888033,0.4810613138888904,0.9029240601794499
2000-06-23 12:00:00,109.0533676853766,-1.4106512024257076,109.96398947121524,-1.813412902343077,-0.9106217858386572,0.4027616999173693,0.5277204888888889,0.9953840206658144
2000-06-23 18:00:00,108.95943717303246,-1.442852470660264,109.95888158525679,-1.8811985785170122,-0.9994444122243351,0.4383461078567483,0.5751662138888882,1.0909588712082674
2000-06-24 00:00:00,108.8537289105811,-1.4754979637425072,109.9490483149417,-1.949039759797831,-1.0953194043606231,0.47354179605532387,0.6230971833333321,1.1928488607347472
2000-06-24 06:00:00,108.74392754012368,-1.5072210601468967,109.93450567450652,-2.016908551589986,-1.1905781343828608,0.5096874914430893,0.6717677861111113,1.2945686523275945
2000-06-24 12:00:00,108.6223413296052,-1.539346121677808,109.91527236343644,-2.0847763710575573,-1.2929310338312234,0.5454302493797494,0.7208770000000015,1.4026690966586515
2000-06-24 18:00:00,108.49665947006177,-1.5705159864185883,109.89136985768384,-2.1526139497552235,-1.3947103876220694,0.5820979633366352,0.770679508333334,1.510624219256639
2000-06-25 00:00:00,108.35914945452954,-1.6017639594378406,109.86282251820926,-2.2203913463064415,-1.503673063679713,0.618627386868601,0.821152383333331,1.6251756321792092
2000-06-25 06:00:00,108.21371202343197,-1.6328126885902594,109.82965766625209,-2.2880779484583558,-1.6159456428201224,0.6552652598680964,0.8719950861111094,1.742862067516088
2000-06-25 12:00:00,108.06030877115148,-1.6633621984690763,109.79190567744908,-2.3556424962596774,-1.7315969062975967,0.6922802977906011,0.9234628222222234,1.8638552055743605
2000-06-25 18:00:00,107.89897536214818,-1.693661770902129,109.74960007637316,-2.4230530813722235,-1.8506247142249777,0.7293913104700944,0.9752554277777783,1.9880539611281205
2000-06-26 00:00:00,107.72967455111524,-1.7234085876033605,109.70277760634765,-2.4902771682678084,-1.9731030552324,0.766868580664448,1.0276284944444427,2.1156329146976303
2000-06-26 06:00:00,107.55631313375015,-1.752349352443276,109.65147832769213,-2.5572816212335074,-2.095165193941966,0.8049322687902314,1.0802822805555579,2.24306801605535
2000-06-26 12:00:00,107.37114882782208,-1.7814588075977584,109.59574568011979,-2.624032704370736,-2.224596852297708,0.8425738967729777,1.1331950333333367,2.3772590596222622
2000-06-26 18:00:00,107.18188948756554,-1.8094354983158298,109.53562657127299,-2.6904961270596925,-2.3537370837074434,0.8810606287438627,1.1866230249999994,2.511512798142252
2000-06-27 00:00:00,106.98082564741502,-1.8375066385485939,109.47117143590077,-2.7566370530496265,-2.4903457884857403,0.9191304145010326,1.2402672138888882,2.652644880022626
2000-06-27 06:00:00,106.77570397073274,-1.8646646821914676,109.40243431755496,-2.8224201302968406,-2.626730346822228,0.9577554481053729,1.2941065944444468,2.793798075956301
2000-06-27 12:00:00,106.56652726922435,-1.8908915953848782,109.32947291113075,-2.8878095278526286,-2.7629456419064127,0.9969179324677504,1.3481204361111132,2.935004274011199
2000-06-27 18:00:00,106.34554643186421,-1.917102073129997,109.25234863793423,-2.9527689527713448,-2.90680220607004,1.0356668796413477,1.4022882833333377,3.083280680003084
2000-06-28 00:00:00,106.12439064183147,-1.9418594219634568,109.17112668652324,-3.017261709759048,-3.0467360446917837,1.075402287795591,1.456589991666668,3.2282253418072706
2000-06-28 06:00:00,105.89146531730931,-1.9668004085334974,109.08587606145566,-3.081250707784811,-3.194410744146353,1.1144502992513137,1.5107279333333352,3.3802576092622743
2000-06-28 12:00:00,105.65449320525804,-1.9906955506742947,108.99666961632957,-3.144698529117044,-3.3421764110715344,1.1540029784427492,1.5649603722222238,3.532571562766861
2000-06-28 18:00:00,105.41347839428343,-2.013523878037027,108.90358409468224,-3.2075674452411174,-3.4901057003988285,1.1940435672040906,1.6192681194444454,3.6852215656149285
2000-06-29 00:00:00,105.168456100659,-2.035540104387747,108.8067001526951,-3.269819478567349,-3.6382440520361,1.2342793741796019,1.6733545638888891,3.838149137159516
2000-06-29 06:00:00,104.91551864011777,-2.0568732302229717,108.70610238215991,-3.331416442771723,-3.790583742042145,1.2745432125487515,1.727479013888889,3.995076068643071
2000-06-29 12:00:00,104.662490656045,-2.0771931039894387,108.60187930655722,-3.3923199962230735,-3.939388650512228,1.3151268922336348,1.7810678249999974,4.148772735855906
2000-06-29 18:00:00,104.40155402172643,-2.0967710538004223,108.49412340195681,-3.452491678909643,-4.092569380230373,1.3557206251092206,1.8346588472222223,4.306628920514865
2000-06-30 00:00:00,104.14050545021173,-2.115028659504303,108.38293108249331,-3.5118929886139516,-4.242425632281595,1.3968643291096488,1.8879570166666646,4.4615162113487035
2000-06-30 06:00:00,103.87161338026057,-2.1330361146778345,108.26840269041911,-3.57048540945925,-4.396789310158539,1.4374492947814157,1.9406676777777783,4.62051110604166
2000-06-30 12:00:00,103.60258971579368,-2.149415032812321,108.15064247198939,-3.62823049052645,-4.548052756195716,1.4788154577141288,1.9933299527777777,4.776814683089685
2000-06-30 18:00:00,103.32961263996592,-2.1650992246268066,108.02975854758162,-3.68508988917473,-4.700145907615706,1.5199906645479233,2.0453722972222224,4.933850459834961
2000-07-01 00:00:00,103.05656930978549,-2.1796903542681396,107.90586287306546,-3.7410254465673276,-4.849293563279957,1.561335092299188,2.0967791972222223,5.088142461871143
2000-07-01 06:00:00,102.77955324587124,-2.1932776522127266,107.77907119110625,-3.795999225358155,-4.999517945235027,1.6027215731454283,2.1478133833333324,5.24347166670172
2000-07-01 12:00:00,102.50248001931386,-2.205754487864329,107.64950296785982,-3.849973596784651,-5.147022948545953,1.6442191089203217,2.198182536111112,5.396249453232964
2000-07-01 18:00:00,102.22146860395583,-2.2174709049395607,107.5172813352238,-3.9029112875413547,-5.295812731267972,1.685440382601794,2.247872619444447,5.550164122887669
2000-07-02 00:00:00,101.9442943103606,-2.2277163974386696,107.38253299545693,-3.9547754534129473,-5.438238685096337,1.7270590559742778,2.2968701250000017,5.698144629375094
2000-07-02 06:00:00,101.66316638396691,-2.236907260237819,107.24538815778648,-4.00552973136667,-5.582221773819583,1.7686224711288507,2.3454398555555542,5.8475876181555595
2000-07-02 12:00:00,101.38590995747843,-2.2449180773653046,107.10598041789923,-4.055138323236122,-5.7200704604208,1.8102202458708172,2.393013844444443,5.9912006092449
2000-07-02 18:00:00,101.10473244190646,-2.2521336326479697,106.96444665943038,-4.103566041939082,-5.859714217523901,1.8514324092911125,2.43985801944444,6.136402498049345
2000-07-03 00:00:00,100.82741180955618,-2.2579067726503514,106.82092694219536,-4.150778388936551,-5.993515132639175,1.8928716162861998,2.485961119444447,6.276110049416247
2000-07-03 06:00:00,100.55008778554313,-2.262840878885695,106.67556436660762,-4.196741610785788,-6.125476581064504,1.9339007319000925,2.531034700000003,6.41394055068908
2000-07-03 12:00:00,100.27662960788302,-2.2663628098622386,106.52850493414192,-4.241422765691391,-6.251875326258897,1.9750599558291526,2.575346483333334,6.546515118235096
2000-07-03 18:00:00,100.00315477894293,-2.268783237205124,106.37989741132122,-4.284789796196255,-6.376742632378296,2.0160065589911307,2.6188870500000014,6.677567998999764
2000-07-04 00:00:00,99.73357543893064,-2.2700984716773545,106.22989316437338,-4.326811567010301,-6.4963177254427364,2.0567130953329467,2.6613698277777793,6.803513037544968
2000-07-04 06:00:00,99.46789467629488,-2.270331135006075,106.07864600241993,-4.367457949949762,-6.610751326125069,2.0971268149436875,2.7027866861111107,6.924480195787048
2000-07-04 12:00:00,99.20220880428643,-2.2694915449736333,105.92631199527214,-4.406699873113453,-6.724103190985716,2.13720832813982,2.743407938888886,7.0443220127609525
2000-07-04 18:00:00,98.94431592775553,-2.267341247539166,105.7730492899552,-4.444509367612109,-6.828733362199671,2.1771681200729427,2.782949013888892,7.155838577766632
2000-07-05 00:00:00,98.68644333594388,-2.2644249734681923,105.61901793735858,-4.480859641197701,-6.9325746014147,2.2164346677295086,2.821403819444445,7.266402103314555
2000-07-05 06:00:00,98.43636876679095,-2.260256327634069,105.4643796891723,-4.515725110531445,-7.028010922381355,2.2554687828973763,2.85876695833333,7.368916669175847
2000-07-05 12:00:00,98.190189940061,-2.254836876288131,105.30929778165218,-4.549081465436792,-7.1191078415911875,2.2942445891486614,2.895311530555553,7.467244393416804
2000-07-05 18:00:00,97.94792681153787,-2.248464735317029,105.15393675157088,-4.580905706857691,-7.206009940033027,2.332440971540662,2.930755805555556,7.561426842829502
2000-07-06 00:00:00,97.70959719667198,-2.2414378435890034,104.9984622116652,-4.6111761861768255,-7.288865014993235,2.369738342587822,2.9648187833333317,7.651507411841436
2000-07-06 06:00:00,97.47905754493682,-2.2330062164621,104.84304063056412,-4.639872654660231,-7.3639830856272965,2.4068664381981315,2.9980535472222236,7.734216929357975
2000-07-06 12:00:00,97.25243847683993,-2.223695953013856,104.6878391221361,-4.66697629455226,-7.43540064529617,2.443280341538404,3.030180602777776,7.813220550963997
2000-07-06 18:00:00,97.03362782243975,-2.2133235336677783,104.53302522616032,-4.69246974774997,-7.499397403720565,2.479146214082192,3.0611989944444495,7.8850483023105475
2000-07-07 00:00:00,96.82262597352558,-2.2019265378652344,104.37876667278297,-4.716337145554113,-7.556140699257412,2.5144106076888786,3.0911085361111112,7.949851190770932
2000-07-07 06:00:00,96.6155472279959,-2.1897322381062576,104.22523117828648,-4.738564134477243,-7.6096839502905596,2.5488318963709853,3.1199098222222226,8.01139677652609
2000-07-07 12:00:00,96.41627788588714,-2.176573252425218,104.07258620813667,-4.759137896511374,-7.656308322249515,2.5825646440861565,3.147604233333336,8.066219613766007
2000-07-07 18:00:00,96.22481754768266,-2.1624838913817928,103.92099875490305,-4.778047158841523,-7.696181207220377,2.6155632674597302,3.174193936111113,8.11447260423125
2000-07-08 00:00:00,96.04116553864432,-2.147497145508921,103.77063512496902,-4.795282210525302,-7.729469586324683,2.6477850650163814,3.199681894444442,8.156309030012899
2000-07-08 06:00:00,95.8614367065391,-2.1318139963793103,103.62166073692433,-4.810834914804084,-7.760224030385245,2.6790209184247735,3.2240718805555595,8.195489973237837
2000-07-08 12:00:00,95.69339874454207,-2.115121316558062,103.47423986597158,-4.824698698489609,-7.780841121429518,2.709577381931547,3.2473684611111118,8.224950625808265
2000-07-08 18:00:00,95.52928229485615,-2.097782242897308,103.32853549042419,-4.836868558882926,-7.799253195568042,2.7390863159856176,3.269577013888888,8.252056278281959
2000-07-09 00:00:00,95.37686384252247,-2.079778107645899,103.18470904144527,-4.847341057805633,-7.8078451989227915,2.7675629501597343,3.2904259472222215,8.269647033141942
2000-07-09 06:00:00,95.23223519686937,-2.060744517193749,103.04292024099807,-4.856114312591444,-7.810685044128718,2.7953697953976953,3.310477816666669,8.281687689685748
2000-07-09 12:00:00,95.09153451823386,-2.041408738668182,102.90332688793328,-4.863187981134864,-7.811792369699418,2.821779242466682,3.329184877777781,8.291711827174016
2000-07-09 18:00:00,94.96250207288841,-2.020941276408791,102.76608468816835,-4.868563240258063,-7.803582615279936,2.847621963849272,3.3471113055555577,8.29289024325635
2000-07-10 00:00:00,94.84127391847463,-2.000070701607614,102.63134707438897,-4.872242771200886,-7.790073155914342,2.8721720695932724,3.363710977777778,8.288755622218089
2000-07-10 06:00:00,94.7278466207351,-1.9788180150134465,102.49926504943558,-4.874230732469508,-7.7714184287004855,2.8954127174560615,3.3789941388888884,8.27945243619205
2000-07-10 12:00:00,94.62219751337044,-1.9566476428048356,102.3699870022821,-4.874532727723619,-7.747789488911678,2.917885084918783,3.393527391666666,8.265338966577252
2000-07-10 18:00:00,94.52822155835084,-1.9340022910372046,102.24365859004608,-4.873155785490618,-7.715437031695245,2.9391534944534135,3.4067670416666687,8.242773185451938
2000-07-11 00:00:00,94.43814784762459,-1.9108854826635928,102.12042257463649,-4.870108310866806,-7.682274727011901,2.959222828203213,3.4190035222222193,8.219148327759383
2000-07-11 06:00:00,94.35972959075775,-1.8870532553917012,102.00041871816786,-4.865400055805491,-7.6406891274100985,2.9783468004137896,3.4302502888888853,8.187469673031991
2000-07-11 12:00:00,94.28909345873126,-1.8629276166718052,101.883783626503,-4.859042076207694,-7.594690167771745,2.996114459535889,3.440243808333335,8.15133387665368
2000-07-11 18:00:00,94.22622656722791,-1.8382431689435068,101.77065067440569,-4.851046694955083,-7.544424107177775,3.0128035260115764,3.4492768944444485,8.110986037837414
2000-07-12 00:00:00,94.17500888554711,-1.813167830390968,101.66114988736133,-4.841427456985298,-7.486141001814218,3.02825962659433,3.4570875888888892,8.06290721711961
2000-07-12 06:00:00,94.13155949752799,-1.78783437605851,101.55540786357902,-4.830199072114975,-7.423848366051033,3.042364696056465,3.4636924777777764,8.01077945586571
2000-07-12 12:00:00,94.09198335958077,-1.761813363327393,101.4535476758925,-4.817377387233492,-7.361564316311728,3.055564023906099,3.469664480555558,7.95848469137396
2000-07-12 18:00:00,94.06404983644785,-1.7357064583196364,101.35568882759334,-4.802979320484046,-7.291638991145476,3.0672728621644096,3.474188383333331,7.898748046323505
2000-07-13 00:00:00,94.04773519774142,-1.7089656215021836,101.26194717539846,-4.787022815122567,-7.214211977657044,3.0780571936203835,3.477838611111114,7.831947327569453
2000-07-13 06:00:00,94.0352982064392,-1.682106229256753,101.17243489799898,-4.769526798305486,-7.137136691559789,3.0874205690487324,3.4803570083333355,7.765112630634353
2000-07-13 12:00:00,94.03447776061968,-1.654896362993658,101.08726043574755,-4.750511112124182,-7.052782675127872,3.095614749130524,3.4817639222222176,7.691354887527592
2000-07-13 18:00:00,94.03752715781545,-1.6275698546232331,101.00652848262713,-4.729996482867014,-6.9690013248117,3.102426628243781,3.4820804388888895,7.617779539685032
2000-07-14 00:00:00,94.05218207408421,-1.599892422617778,100.93033995219935,-4.708004448663833,-6.8781578781151325,3.1081120260460553,3.4813283527777727,7.537530140671574
2000-07-14 06:00:00,94.07456709871947,-1.5719780847987979,100.85879197531062,-4.684557318996894,-6.784224876591168,3.112579234198096,3.4795301694444447,7.454209573038515
2000-07-14 12:00:00,94.10467738731654,-1.543822968447571,100.7919778977646,-4.659678118627843,-6.68730051044804,3.115855150180272,3.476709091666663,7.3679286190730675
2000-07-14 18:00:00,94.14250805098318,-1.5154218656558334,100.72998728765094,-4.633390537570879,-6.587479236667775,3.1179686719150457,3.472889011111114,7.278796334505457
2000-07-15 00:00:00,94.1919286049928,-1.4869247798937713,100.67290594415627,-4.605718885074105,-6.4809773391634735,3.118794105180334,3.4678167249999987,7.183366871545635
2000-07-15 06:00:00,94.24519326057023,-1.4582868460774991,100.62081592213053,-4.576688027085021,-6.3756226615603,3.1184011810075223,3.46179524722222,7.088733498953647
2000-07-15 12:00:00,94.30617255331272,-1.4296567108800762,100.57379557540254,-4.546323346086869,-6.267623022089822,3.1166666352067924,3.4545726972222184,6.991432047040709
2000-07-15 18:00:00,94.37485278771061,-1.4007461985140879,100.53191956832269,-4.514650688267025,-6.15706678061207,3.1139044897529375,3.4464533944444433,6.891695109794123
2000-07-16 00:00:00,94.45510058214676,-1.3716923842542263,100.49525894131507,-4.481696327666964,-6.040158359168316,3.110003943412738,3.437186750000002,6.786120588345037
2000-07-16 06:00:00,94.53917626609744,-1.3424593991801022,100.46388115120743,-4.447486900557992,-5.924704885109975,3.10502750137789,3.4270783472222206,6.681696590875254
2000-07-16 12:00:00,94.63094759996872,-1.3131838612558202,100.437850119325,-4.4120493771687705,-5.806902519356299,3.0988655159129506,3.415878836111112,6.575001689146708
2000-07-16 18:00:00,94.73041986041001,-1.2841275246405972,100.41722630275873,-4.37541101391267,-5.686806442348711,3.0912834892720724,3.4033394749999992,6.465990326915992
2000-07-17 00:00:00,94.83756906781935,-1.2547180029354112,100.40206675097197,-4.337599311307266,-5.564497683152638,3.0828813083718547,3.390045452777777,6.355040540171197
2000-07-17 06:00:00,94.95241063588874,-1.2254920037827435,100.39242517534453,-4.298641975487176,-5.440014539455774,3.073149971704433,3.375471436111109,6.241963441325285
2000-07-17 12:00:00,95.07493028010033,-1.1961521140570646,100.38835201538696,-4.2585668789779305,-5.313421735286624,3.0624147649208657,3.3599260027777724,6.12699865828067
2000-07-17 18:00:00,95.20126710264888,-1.1668275167778788,100.38989453334423,-4.217402021104652,-5.188627430695362,3.0505745043267734,3.343440519444446,6.013488002630523
2000-07-18 00:00:00,95.33913044595778,-1.1371991334706146,100.397096870919,-4.175175504183394,-5.057966424961222,3.037976370712779,3.326046919444444,5.8950254940510245
2000-07-18 06:00:00,95.48081522507862,-1.107825676729589,100.41000012888183,-4.13191549022712,-4.929184903803218,3.0240898134975307,3.307499905555556,5.778020599413816
2000-07-18 12:00:00,95.62632050811483,-1.078694956156458,100.42864246455196,-4.08765017751662,-4.80232195643714,3.008955221360162,3.2878325055555564,5.662500489789484
2000-07-18 18:00:00,95.78335152688406,-1.0494606551318633,100.45305917260573,-4.042407760617093,-4.669707645721672,2.9929471054852295,3.2670782749999994,5.542190186930305
2000-07-19 00:00:00,95.94418562802811,-1.0201481651908098,100.4832827569544,-3.9962164233714716,-4.539097128926301,2.976068258180662,3.2455490861111116,5.423675479248101
2000-07-19 06:00:00,96.11268510612352,-0.9908447764091285,100.51934302751872,-3.9491042898177113,-4.406657921395208,2.9582595134085827,3.2230017638888917,5.303726977339968
2000-07-19 12:00:00,96.2850092936056,-0.9619804609148361,100.56126718467499,-3.901099416605324,-4.276257891069406,2.9391189556904878,3.199193649999998,5.185349295622293
2000-07-19 18:00:00,96.46498140829115,-0.9327989262006667,100.6090799030776,-3.8522297730472714,-4.144098494786448,2.9194308468466046,3.1747159305555535,5.0658621324576805
2000-07-20 00:00:00,96.65262487058604,-0.9038241546462019,100.66280341043061,-3.802523203531827,-4.01017853984456,2.898699048885625,3.149049166666668,4.945040335312484
2000-07-20 06:00:00,96.8440755777149,-0.8749440064975126,100.72245759757888,-3.752007433488174,-3.8783820198639773,2.8770634269906616,3.1225077583333345,4.826142355238993
2000-07-20 12:00:00,97.04319482878586,-0.8462163286500333,100.78806006999044,-3.7007100311214876,-3.744865241204593,2.854493702471454,3.094851024999997,4.706077277597854
2000-07-20 18:00:00,97.2461195434877,-0.8175386315425507,100.85962624974515,-3.648658405544938,-3.6135067062574535,2.8311197740023872,3.0663943249999974,4.588046802527165
2000-07-21 00:00:00,97.45671030572768,-0.7889558986582191,100.93716946490032,-3.595879793194834,-3.4804591591726535,2.806923894536615,3.0368979388888917,4.46903278838175
2000-07-21 06:00:00,97.67112093907528,-0.7606532727127667,101.02070101116406,-3.542401242085229,-3.34958007208877,2.7817479693724625,3.0064003916666664,4.351985778563538
2000-07-21 12:00:00,97.88933606160441,-0.7323351162371835,101.1102302334143,-3.4882495956713773,-3.2208941718099027,2.755914479434194,2.975218441666666,4.237115481916737
2000-07-21 18:00:00,98.11523215455622,-0.7043034703249369,101.20576461357746,-3.4334515051616235,-3.090532459021233,2.7291480348366868,2.9428359861111097,4.121332068648785
2000-07-22 00:00:00,98.34877462653519,-0.6759650778892822,101.30730983869528,-3.3780333915342706,-2.9585352121600863,2.7020683136449883,2.9098484694444444,4.005187184925585
2000-07-22 06:00:00,98.5823137624872,-0.648329349883449,101.41486986260989,-3.322021473235422,-2.8325561001227015,2.673692123351973,2.8757406888888895,3.893701850170457
2000-07-22 12:00:00,98.82351756104387,-0.620610911027013,101.52844699044408,-3.2654417344492828,-2.7049294294002095,2.6448308234222697,2.8408312083333342,3.781806215651195
2000-07-22 18:00:00,99.06854519032613,-0.5930298224979306,101.64804193848143,-3.208319929780358,-2.579496748155293,2.6152901072824273,2.8051612500000047,3.672201955061706
2000-07-23 00:00:00,99.3212564206844,-0.5655739482895891,101.77365388270736,-3.150681593646139,-2.452397462022958,2.58510764535655,2.768494700000005,3.562258866592253
2000-07-23 06:00:00,99.57781371824011,-0.5384758931786005,101.9052805405504,-3.092552022640397,-2.327466822310271,2.5540761294617966,2.730873644444447,3.454572310088117
2000-07-23 12:00:00,99.8381793286714,-0.5111597256451086,102.04291821909881,-3.0339562811009952,-2.204738890427393,2.5227965554558867,2.6928961472222213,3.3496175518138402
2000-07-23 18:00:00,100.10241617294255,-0.48443444909392097,102.18656185903063,-2.974919202364427,-2.0841456860880783,2.490484753270506,2.6537717999999977,3.2467729409496973
2000-07-24 00:00:00,100.37050761601174,-0.45800050561275907,102.33620509865018,-2.9154653946490883,-1.9656974826384612,2.4574648890363293,2.613821722222223,3.146292861083663
2000-07-24 06:00:00,100.64627001153961,-0.43125205516525333,102.49184030936996,-2.8556192363197623,-1.8455702978303634,2.424367181154509,2.573367436111109,3.0463708047476907
2000-07-24 12:00:00,100.92205677775256,-0.40504743177582586,102.65345864367649,-2.7954048792160635,-1.7314018659239423,2.3903574474402376,2.5321753055555547,2.951065520293162
2000-07-24 18:00:00,101.20556409982836,-0.37901960192538087,102.82105006776531,-2.73484625696079,-1.6154859679369338,2.3558266550354094,2.4900120888888893,2.856119599629068
2000-07-25 00:00:00,101.49291449492091,-0.35289704859493093,102.99460341292678,-2.6739670839348286,-1.5016889180058683,2.321070035339898,2.447478261111108,2.7641551597315166
2000-07-25 06:00:00,101.78415868692224,-0.32720902290705195,103.17410638479575,-2.61279086736155,-1.3899476978735095,2.285581844454498,2.4040635666666645,2.6747543709354757
2000-07-25 12:00:00,102.07927710256025,-0.3016541236879832,103.35954561081334,-2.551340908229754,-1.280268508253073,2.2496867845417707,2.3600914527777803,2.588233256064282
