rank,period_days,amplitude_deg,frequency_cycles_per_day
1,31.80732946298984,1.2658507790844338,0.03143929455516136
2,27.566352201257864,0.9236103605804381,0.03627610910210926
3,14.767688679245284,0.6340921476785767,0.06771540365727062
4,27.223913043478262,0.46550329219964615,0.03673241236125529
5,365.2541666666667,0.18513132347555125,0.0027378195548761705
6,13.774512884978002,0.11802017751617057,0.07259784853013312
7,371.4449152542373,0.09268111872901026,0.002692189228961568
8,359.2663934426229,0.092445759801097,0.0027834498807907736
9,34.841414944356124,0.056715310057103736,0.02870147500028519
10,206.74764150943398,0.051801277998286564,0.004836814546947901
11,9.611951754385966,0.047553770015908436,0.10403714308529448
12,15.38992275280899,0.04408278590762748,0.06497758410239445
13,29.816666666666666,0.037925729514904735,0.03353828954723309
14,25.631871345029243,0.02818583227958858,0.03901392865698543
15,26.8898773006135,0.021075066556632622,0.03718871562040132
16,29.495625841184385,0.020752605237769183,0.033903332154549916
17,9.184932942162614,0.013455150967392646,0.10887395763224239
18,173.93055555555554,0.013425138425814472,0.005749421065239959
19,10.085250805338243,0.010541696660061996,0.09915469821243197
20,13.637367766023646,0.010084501270497988,0.07332793374476677
