year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,0.05141114961098049,0.007970070163641423,0.005290007998012286,0.05202499492767212
2001,1460,0.064410579705866,0.012107438675469942,0.005802713916706005,0.06553846799378685
2002,1460,0.08280172387953835,0.01850969069626146,0.005471403744019735,0.08484530276876141
2003,1460,0.10132166195149914,0.024961353150227922,0.005523759941726249,0.1043510739656447
2004,1464,0.11886045254013272,0.031386822056314004,0.005698684553882915,0.12293457983469276
2005,1460,0.1344873292780759,0.03772587987840256,0.005801079842690504,0.13967805313217643
2006,1460,0.14785659396570291,0.04398476827907357,0.005699847135520516,0.15425922664760422
2007,1460,0.15844796412943418,0.05015651732739085,0.005333802466118934,0.16619503870258875
2008,1464,0.166445050491898,0.05622033554943486,0.004961008269809547,0.17568036679324261
2009,1460,0.17260948866337533,0.062243969827492425,0.005127982094989774,0.18348482493993995
2010,1460,0.17773968140429128,0.06817796361628387,0.006141619305236511,0.19036084477963133
2011,1460,0.18303559206645528,0.07403270674727372,0.007586426426265907,0.197432548415947
2012,1464,0.1896677390515276,0.07983240028348046,0.008862839187112713,0.20577337374462967
2013,1460,0.19781865115142586,0.08552853504014019,0.009686016390590557,0.2155029626460864
2014,1460,0.20751378181956817,0.09115567070179223,0.009995657165737368,0.22663553281217638
2015,1460,0.2174733291828358,0.09658720650232072,0.010088038522642217,0.2379366532352528
2016,1464,0.2271065750246232,0.10188562773665324,0.010210295925320462,0.2488887185495825
2017,1460,0.23548454626887919,0.1070142273610612,0.01063843112365991,0.25863037593690774
2018,1460,0.24185160984230042,0.11198917017669084,0.01169177822437673,0.2664872980174351
2019,1460,0.24551336164738924,0.1167606338333633,0.013615923903252752,0.27182485952863567
2020,1464,0.24649270874014348,0.1213474248917973,0.016497832608021068,0.2747003002860005
2021,1460,0.24494582448618382,0.12578470366131259,0.020366740701658434,0.27530817850282796
2022,1460,0.24176865428855096,0.13003243199500072,0.02487882817241327,0.27446894072066164
2023,1460,0.23810505819457503,0.1341371757207713,0.02963844874287861,0.27323622058840547
2024,1464,0.23521679278856705,0.1380462813185925,0.034080455818529615,0.27267820969544376
2025,1460,0.23405469147517222,0.14180239955815868,0.0378708519303261,0.2736006176316094
2026,685,0.2361037672226994,0.13965274040248485,0.03446031310223806,0.27425347141212864
