date,ty_ecl_lon_deg,ty_ecl_lat_deg,jpl_ecl_lon_deg,jpl_ecl_lat_deg,dlon_deg,dlat_deg,ddec_deg,sep_deg,primary_model_dlon_deg,primary_residual_dlon_deg
2000-06-21 00:00:00,313.97972139800015,-1.3059327278399204,314.08753664269426,-1.7497895383484516,-0.10781524469410897,0.4438568105085312,0.3933219388888851,0.45675449992789946,0.3261662006160845,-0.43398144531019345
2000-06-21 03:00:00,315.47684751055164,-1.4348010246315968,315.5748718174554,-1.8781408227616658,-0.09802430690376696,0.4433397981300691,0.39398609999999934,0.45403839505920507,0.3468597174754327,-0.44488402437919966
2000-06-21 06:00:00,316.9754423133863,-1.5627598982106117,317.06402366011014,-2.0053837850812744,-0.08858134672385631,0.4426238868706627,0.3945245083333333,0.4513921971942593,0.3686955398976213,-0.45727688662147764
2000-06-21 09:00:00,318.4794624246116,-1.6907479692375327,318.5551165415302,-2.131436845073387,-0.07565411691859936,0.4406888758358545,0.3951503388888895,0.4471284346396828,0.3916442063379235,-0.4672983232565229
2000-06-21 12:00:00,319.9852740074351,-1.8172711592045034,320.0482765564057,-2.256218441774408,-0.06300254897058721,0.43894728256990434,0.3960808249999985,0.44343996758902776,0.4156715542708485,-0.4786741032414357
2000-06-21 15:00:00,321.49284954452196,-1.9425345704261243,321.5436314985794,-2.379647032684561,-0.05078195405741326,0.4371124622584368,0.3969813972222198,0.4400482154865325,0.44073879697474716,-0.4915207510321604
2000-06-21 18:00:00,323.0023238346956,-2.06620602438256,323.041310767422,-2.501641080097845,-0.0389869327264023,0.43543505571528485,0.39807652222222245,0.4371741613955807,0.4668026143562177,-0.50578954708262
2000-06-21 21:00:00,324.51742361538555,-2.1898179374895586,324.5414453053866,-2.622119026372291,-0.02402169000106369,0.43230108888273255,0.39903832499999936,0.4329668040087494,0.4938152575692768,-0.5178369475703405
2000-06-22 00:00:00,326.03456696231143,-2.311457461191187,326.0441675204941,-2.74099929484876,-0.009600558182683017,0.42954183365757315,0.4003752666666678,0.4296489009427063,0.5217246671446504,-0.5313252253273334
2000-06-22 03:00:00,327.5574541091595,-2.432682780767469,327.5496111943008,-2.858200265267047,0.007842914858713357,0.42551748449957794,0.4017652750000007,0.42558960232387183,0.550474604305724,-0.5426316894470107
2000-06-22 06:00:00,329.0823908972912,-2.5517682323867317,329.05791138941004,-2.9736402571902647,0.024479507881153495,0.42187202480353303,0.40344446666666656,0.4225800003879721,0.5800047951097765,-0.555525287228623
2000-06-22 09:00:00,330.6092628932821,-2.6688483200422266,330.5692043510014,-3.0872375250649093,0.040058542280689835,0.41838920502268273,0.4050959111111112,0.4202977052093094,0.6102510870162389,-0.570192544735549
2000-06-22 12:00:00,332.14192321654144,-2.7849925556814137,332.0836273877761,-3.198910247123512,0.05829582876532413,0.41391769144209833,0.4069606472222205,0.41799160937454943,0.6411456174479355,-0.5828497886826114
2000-06-22 15:00:00,333.67654583263095,-2.8986307088447614,333.60131877431536,-3.3085765029742427,0.07522705831559051,0.4099457941294813,0.40900426666666867,0.4167709820864128,0.6726169938767289,-0.5973899355611384
2000-06-22 18:00:00,335.2167599687325,-3.011367431319251,335.12241760673055,-3.416154273314877,0.094342362001953,0.4047868419956262,0.4109168972222239,0.4156018027042266,0.7045904849317464,-0.6102481229297934
2000-06-22 21:00:00,336.75891864831755,-3.1210500358238074,336.6470636817356,-3.521561429257128,0.1118549665819728,0.40051139343332043,0.41322430833333534,0.41578704119351273,0.7369882219965591,-0.6251332554145863
2000-06-23 00:00:00,338.30662930256085,-3.2292971957920544,338.17539734007823,-3.624715733287514,0.13123196248261593,0.3954185374954595,0.4156212916666657,0.4165525663701778,0.7697294107313742,-0.6384974482487583
2000-06-23 03:00:00,339.859698383993,-3.3362253642232234,339.70755933829423,-3.7255348178333576,0.15213904569878878,0.38930945361013425,0.41780503888888987,0.41787588907530426,0.8027305519275759,-0.6505915062287871
2000-06-23 06:00:00,341.4182379626265,-3.441165274403923,341.2436906736526,-3.8239362137675355,0.1745472889738835,0.3827709393636125,0.4203086111111123,0.42054480729848404,0.8359056710749084,-0.6613583821010249
2000-06-23 09:00:00,342.9782406489902,-3.542619961744939,342.7839324186536,-3.919837329138135,0.19430823033661682,0.3772173673931962,0.4228343861111128,0.42413276331796507,0.8691665559963037,-0.6748583256596868
2000-06-23 12:00:00,344.5432667928219,-3.6422215807171745,344.3284255378672,-4.013155463886321,0.21484125495470607,0.3709338831691462,0.42508757222222293,0.4284190189153196,0.9024230018818614,-0.6875817469271553
2000-06-23 15:00:00,346.1134004566067,-3.7392648993309114,345.87731070720724,-4.103807830861934,0.23608974939946847,0.36454293153102224,0.42760975277777824,0.43401500806605303,0.9355830630319318,-0.6994933136324634
2000-06-23 18:00:00,347.6883919994166,-3.833800399329447,347.4307281215597,-4.191711563243824,0.25766387785688494,0.35791116391437683,0.4301124472222213,0.44064241916833014,0.9685533105995832,-0.7108894327426982
2000-06-23 21:00:00,349.2680888632295,-3.92561030522761,348.9888172746717,-4.276783735657044,0.27927158855777634,0.3511734304294336,0.4325884972222216,0.44823680043933023,1.0012390956051305,-0.7219675070473541
2000-06-24 00:00:00,350.8560222943683,-4.016356912362505,350.5517167452753,-4.358941393488101,0.30430554909298735,0.3425844811255967,0.43475681388888976,0.45768102945035444,1.0335448164798129,-0.7292392673868255
2000-06-24 03:00:00,352.4445230076033,-4.102279162607696,352.11956397347274,-4.438101588090221,0.32495903413058613,0.33582242548252417,0.4368960444444445,0.4666790132561187,1.0653741903822351,-0.740415156251649
2000-06-24 06:00:00,354.04101998010975,-4.186404491480574,353.69249502412976,-4.514181417884632,0.3485249559799968,0.32777692640405753,0.43901160277777773,0.4777113202506569,1.096630527519858,-0.7481055715398612
2000-06-24 09:00:00,355.64140538453705,-4.267089151243431,355.27064433494,-4.587098063737829,0.3707610495970357,0.3200089124943988,0.4408360527777786,0.4889274334606962,1.1272170076986519,-0.7564559581016161
2000-06-24 12:00:00,357.2455876035908,-4.343808014210044,356.8541444522362,-4.656768857930593,0.39144315135462193,0.3129608437205489,0.4426628777777779,0.5002284244088467,1.1570369583170683,-0.7655938069624464
2000-06-24 15:00:00,358.856952539426,-4.418450234501211,358.4431257771591,-4.723111340819574,0.41382676226692183,0.3046611063183624,0.4439580277777777,0.5128186918167976,1.1859941330157329,-0.772167370748811
2000-06-24 18:00:00,0.4715766704425874,-4.488821182352295,0.03771626541534729,-4.786043327918451,0.43386040502724654,0.2972221455661561,0.44502706388888846,0.5247332453561679,1.2139929901917477,-0.7801325851645011
2000-06-24 21:00:00,2.0968849436785733,-4.557941214493799,1.6380411701946906,-4.845482998014419,0.45884377348389194,0.28754178352062,0.4459045388888887,0.540187810121631,1.2409389705862133,-0.7820951971023213
2000-06-25 00:00:00,3.720944856568147,-4.621047952044707,3.2442227072586998,-4.901348976312895,0.47672214930943824,0.28030102426818804,0.44607674722222246,0.5516035433282122,1.2667387731555493,-0.790016623846111
2000-06-25 03:00:00,5.355225606195984,-4.682286852047319,4.856379777875792,-4.953560434453106,0.4988458283201851,0.2712735824057866,0.44614891944444457,0.5662866809475223,1.291300628441388,-0.7924548001212028
2000-06-25 06:00:00,6.9954348587455,-4.740188257848186,6.474627627893305,-5.002037205704837,0.5208072308521992,0.2618489478566506,0.44562357222222215,0.5812476044126572,1.3145345686602365,-0.7937273378080374
