year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,0.2733029609128759,0.04246401458476141,0.13424485358808144,0.27658213912073754
2001,1460,0.2689557543192144,0.04248966235743786,0.10555534780060381,0.2722912950437862
2002,1460,0.2702932520165507,0.042464862382143004,0.10732603691721669,0.27360863765998444
2003,1460,0.27519873094407515,0.042462060197333625,0.10987765784126806,0.2784552878732058
2004,1464,0.27683876311122524,0.042439779258952,0.11163517228118178,0.28007287387951335
2005,1460,0.28132274395215123,0.04247597486515162,0.11411064741879262,0.28451128833237666
2006,1460,0.2842670228284666,0.04252782341512437,0.11586652784807427,0.28743057280623024
2007,1460,0.2898940517958985,0.04253955215984827,0.11852919306353278,0.29299855324470087
2008,1464,0.29668961826860035,0.042503502708603896,0.1211759663090504,0.29971862457101667
2009,1460,0.2995407257179074,0.042598969385542876,0.12276467313941432,0.30255461477293544
2010,1460,0.305523403362575,0.04261172848617102,0.12535486196403428,0.3084806073373123
2011,1460,0.31373325161968996,0.0425914790598546,0.1284375978256389,0.3166110575164269
2012,1464,0.3201056513825112,0.042490645018643726,0.1308606934751697,0.3229133888001811
2013,1460,0.3290127356302455,0.04250409952536099,0.13393674602216007,0.3317468179902812
2014,1460,0.33547438218018516,0.04257462263187558,0.13622699147458583,0.33816509487417495
2015,1460,0.344556170064451,0.04264474329968535,0.13949126010589158,0.3471851077060904
2016,1464,0.3548411187445882,0.04263166596206714,0.14274773945960745,0.3573928476794174
2017,1460,0.3615605000795976,0.04268328044904972,0.14509625947513896,0.36407118235132496
2018,1460,0.3716112800099883,0.042664319860878756,0.14831976915552222,0.37405234168466384
2019,1460,0.38211770025517555,0.042604836961655033,0.1515301269146359,0.38448546647330817
2020,1464,0.3906928088718525,0.04253955852664716,0.15405993929994302,0.3930018432093777
2021,1460,0.40145725553868966,0.04261686153759696,0.15744642659347693,0.40371287716644194
2022,1460,0.40933174052817706,0.042727112922364995,0.16003297070373138,0.4115556355355328
2023,1460,0.4204419589446185,0.042740506870314915,0.16366920903327684,0.4226087447079053
2024,1464,0.43219471451087893,0.04266842741558488,0.16695514800666936,0.4342957786947131
2025,1460,0.44095099022572104,0.042755944449297374,0.16962617205994812,0.44301896412124
2026,685,0.15247734136528335,0.042802872470435495,0.059010977279177965,0.15837115983489042
