year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,1552,1.1169086885276907,0.27634181155839965,0.38351372676316603,1.1484603424801783
2001,2920,1.1463280257308857,0.23138075330631275,0.3861532108269243,1.167312893351565
2002,2920,1.1648378732784497,0.18957287268484038,0.3854581492773183,1.177877259225331
2003,2920,1.1552416091317217,0.15264702428795646,0.39440578108299384,1.1629659288040832
2004,2928,1.1290088318223401,0.13602547442622667,0.3882832782405525,1.1348725649594043
2005,2920,1.1161051436432357,0.15206617627827101,0.40672540540043034,1.1241090103423936
2006,2920,1.1342369160003862,0.18856821013199615,0.4516078125521987,1.1475569086228734
2007,2920,1.127114094834955,0.22554314043833176,0.45359903762977166,1.1472406637823183
2008,2928,1.1126544074623168,0.27070492691564574,0.43840796381740377,1.1428607759499207
2009,2920,1.1070789578593843,0.30384936683418584,0.45288057806892174,1.1456873353433268
2010,2920,1.1284740444102521,0.3376686676863038,0.47227913246465164,1.1755183170348216
2011,2920,1.1111342103898652,0.3610997351749314,0.4549065130834809,1.1659884001322633
2012,2928,1.108062827719054,0.3796781890363207,0.4242688970570833,1.168987961206782
2013,2920,1.1304438239647288,0.38822219356375187,0.4420748288279684,1.1930202316495528
2014,2920,1.1386276030011029,0.3909606567468932,0.4363003350905009,1.2015738615518163
2015,2920,1.131693841995574,0.37968792783044447,0.4324187064222931,1.1914557753279358
2016,2928,1.1319464444263319,0.3570410000301476,0.4065452032917459,1.1846926958173853
2017,2920,1.1334070299730916,0.3275184005702496,0.4214545864834901,1.1775277035161156
2018,2920,1.1282864089478952,0.29766624581776807,0.4179008591950811,1.164796730221418
2019,2920,1.138851842951302,0.2451800700326998,0.4022392043063588,1.1627785082105013
2020,2928,1.1448634132326194,0.20234701146770578,0.3839531746658159,1.160395674406182
2021,2920,1.1485504505790345,0.1679461366106864,0.3903368981684568,1.1585625240792305
2022,2920,1.131664419170475,0.13768121996880947,0.3850208481693829,1.1376775430165058
2023,2920,1.1210702274800137,0.1418897890232404,0.4030633294591497,1.1277762895352101
2024,2928,1.1130953911715626,0.16997992475672175,0.4349777757157956,1.123839869479331
2025,2920,1.1426134379705173,0.20749242997134207,0.4580709345413867,1.1589943277640256
2026,1369,1.1154680732021536,0.23273042694541857,0.45116951869067023,1.1372644272157628
