rank,period_days,amplitude_deg,frequency_cycles_per_day
1,27.52536231884058,1.8641224927977862,0.03633013031459787
2,31.760033444816052,1.090117630971903,0.031486112939318155
3,14.768662519440124,0.6492383712966411,0.06771093852836646
4,365.2403846153846,0.18508873565653083,0.002737922864288535
5,379.85,0.09261787046740733,0.002632618138738976
6,351.712962962963,0.09235387259962616,0.002843227589838094
7,206.44021739130432,0.05824966442227287,0.004844017375279716
8,13.782656023222062,0.05485682618338412,0.07255495590364618
9,9.61158906882591,0.05170672000322951,0.10404106884296432
10,34.78479853479853,0.04883321543388446,0.028748190075029618
11,15.39100486223663,0.04511182906306329,0.06497301566407793
12,29.76880877742947,0.038233627017511956,0.03359220745030933
13,202.04787234042553,0.03486153788068004,0.0049493221008292745
14,27.209885386819483,0.03141801324237951,0.036751349216796105
15,32.08192567567568,0.030606282409778373,0.031170198762669476
16,25.596361185983827,0.027784405741001408,0.039068053178886404
17,211.02777777777777,0.02407939982212874,0.004738712649730157
18,26.901558073654392,0.01861003628162518,0.03717256811899434
19,172.6590909090909,0.014923673693049687,0.005791759905225747
20,27.84824046920821,0.013233380749325367,0.03590891141239963
