rank,period_days,amplitude_deg,frequency_cycles_per_day
1,365.2403846153846,0.14417273063970992,0.002737922864288535
2,351.712962962963,0.08079967424224867,0.002843227589838094
3,379.85,0.0681986270914782,0.002632618138738976
4,182.6201923076923,0.017225416998798013,0.00547584572857707
5,186.20098039215685,0.009971088538838645,0.005370541003027511
6,179.1745283018868,0.007256844443254169,0.005581150454126629
7,395.6770833333333,0.006670509214240825,0.002527313413189417
8,339.1517857142857,0.00198111327661387,0.002948532315387653
9,412.88043478260863,0.0013237278266824866,0.002422008687639858
10,327.4568965517241,0.0007692914010007205,0.003053837040937212
11,431.6477272727273,0.000492987226298173,0.0023167039620902987
12,121.74679487179486,0.00033013547103517046,0.008213768592865605
13,175.8564814814815,0.00029192757408184563,0.005686455179676188
14,316.5416666666667,0.0002907152842041737,0.003159141766486771
15,189.925,0.0002838986101098775,0.005265236277477952
16,123.32792207792208,0.0002602558030031862,0.008108463867316045
17,452.2023809523809,0.00021585801270034173,0.00221139923654074
18,306.3306451612903,0.00016390545134712433,0.0032644464920363304
19,474.81249999999994,0.00012960439130181543,0.002106094510991181
20,120.20569620253164,9.646155923521618e-05,0.008319073318415164
