rank,period_days,amplitude_deg,frequency_cycles_per_day
1,49.98026315789473,2.1318272789766186,0.02000789785441622
2,365.2403846153846,1.731174066591852,0.002737922864288535
3,379.85,0.8676639627679935,0.002632618138738976
4,351.712962962963,0.8629057129977346,0.002843227589838094
5,115.8079268292683,0.8341277913161342,0.00863498749506384
6,34.91268382352941,0.7689051473070482,0.02864288534948006
7,169.57589285714286,0.6888308664127438,0.005897064630775306
8,57.90396341463415,0.4553006191806123,0.01726997499012768
9,117.23765432098764,0.44750593323797605,0.008529682769514282
10,114.41265060240963,0.3878278029744267,0.008740292220613401
11,172.6590909090909,0.36936526838465916,0.005791759905225747
12,166.60087719298247,0.3205988130845459,0.006002369356324865
13,31.86661073825503,0.3190153272401404,0.031380808213768596
14,26.825564971751415,0.2690715198650819,0.0372778728445439
15,68.81340579710145,0.26107429068220056,0.014532052125839147
16,38.60264227642276,0.234563077945754,0.025904962485191523
17,182.6201923076923,0.20950743882324244,0.00547584572857707
18,87.92824074074075,0.16860841593628229,0.011372910359352376
19,70.86753731343283,0.16747746257489451,0.014110833223640911
20,24.990131578947366,0.15282034971417255,0.04001579570883244
